x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
6,1,4,7,8,8,67,67,1.706,0,0,152,229,0,
7,1,4,7,8,8,67,67,1.721,0,0,180,257,0,
8,1,4,7,8,8,67,67,1.736,0,0,208,285,0,
1,1,4,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,4,8,8,8,67,67,1.55,0,0,44,217,0,
3,1,4,8,8,8,67,67,1.706,0,0,76,153,0,
4,1,4,8,8,8,67,67,1.706,0,0,108,185,0,
5,1,4,8,8,8,67,67,1.779,0,0,140,217,0,
6,1,4,8,8,8,67,67,1.706,0,0,172,249,0,
7,1,4,8,8,8,67,67,1.721,0,0,204,281,0,
8,1,4,8,8,8,67,67,1.736,0,0,236,313,0,
1,1,5,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,1,8,8,67,67,1.55,0,0,17,109,0,
3,1,5,1,8,8,67,67,1.706,0,0,22,99,0,
4,1,5,1,8,8,67,67,1.706,0,0,27,104,0,
5,1,5,1,8,8,67,67,1.779,0,0,32,109,0,
6,1,5,1,8,8,67,67,1.706,0,0,37,114,0,
7,1,5,1,8,8,67,67,1.721,0,0,42,119,0,
8,1,5,1,8,8,67,67,1.736,0,0,47,124,0,
1,1,5,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,2,8,8,67,67,1.55,0,0,22,129,0,
3,1,5,2,8,8,67,67,1.706,0,0,32,109,0,
4,1,5,2,8,8,67,67,1.706,0,0,42,119,0,
5,1,5,2,8,8,67,67,1.779,0,0,52,129,0,
6,1,5,2,8,8,67,67,1.706,0,0,62,139,0,
7,1,5,2,8,8,67,67,1.721,0,0,72,149,0,
8,1,5,2,8,8,67,67,1.736,0,0,82,159,0,
1,1,5,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,3,8,8,67,67,1.55,0,0,27,149,0,
3,1,5,3,8,8,67,67,1.706,0,0,42,119,0,
4,1,5,3,8,8,67,67,1.706,0,0,57,134,0,
